UserId	DisplayName	ProfileLink	ARN	ABAN	CBEN	VBEN	VBEN2
4238408	Quang Hoang	https://stackoverflow.com/users/4238408/quang-hoang	0.003881683	0.005346396	0.011032961	0.011058269	0.009161146
2901002	jezrael	https://stackoverflow.com/users/2901002/jezrael	0.048154352	0.074724094	0.109285676	0.031094014	0.023705814
9698684	yatu	https://stackoverflow.com/users/9698684/yatu	0.002495853	0.003908818	0.024482375	0.003799323	0.002160938
7964527	YO and BEN_W	https://stackoverflow.com/users/7964527/yo-and-ben-w	0.021785788	0.026687957	0.045316835	0.000729184	0.000741606
2535611	rafaelc	https://stackoverflow.com/users/2535611/rafaelc	0.0038638	0.005059239	0.009068676	0.002429679	0.003054264
4909087	cs95	https://stackoverflow.com/users/4909087/cs95	0.007188428	0.011063672	0.027689076	0.029042091	0.032463985
5741205	MaxU	https://stackoverflow.com/users/5741205/maxu	0.006177609	0.009142946	0.010403348	0.000656282	0.000363785
6361531	Scott Boston	https://stackoverflow.com/users/6361531/scott-boston	0.006104973	0.008782325	0.016572135	0.007572526	0.008604785
4333359	ALollz	https://stackoverflow.com/users/4333359/alollz	0.003496023	0.003767653	0.008344282	0.015969945	0.013562269
2336654	piRSquared	https://stackoverflow.com/users/2336654/pirsquared	0.010109311	0.014408257	0.029649168	0.099195426	0.100720404
7093741	Chris	https://stackoverflow.com/users/7093741/chris	0.001085793	0.001764801	0.015000021	0.003228541	0.001520097
3483203	user3483203	https://stackoverflow.com/users/3483203/user3483203	0.004290853	0.00617017	0.027520298	0.011361612	0.008623071
9209546	jpp	https://stackoverflow.com/users/9209546/jpp	0.012928363	0.016329535	0.020021668	0.029478357	0.032708041
10201580	Chris A	https://stackoverflow.com/users/10201580/chris-a	0.001157287	0.00186	0.007692414	0.012443711	0.009036456
704848	EdChum - Reinstate Monica	https://stackoverflow.com/users/704848/edchum-reinstate-monica	0.002774941	0.004116796	0.003487151	0.020589164	0.019230672
4686625	miradulo	https://stackoverflow.com/users/4686625/miradulo	0.000688742	0.000969119	0.005547703	0.08435666	0.086027623
6287308	Vaishali	https://stackoverflow.com/users/6287308/vaishali	0.001645498	0.002785577	0.013690432	0.003060115	0.002660888
190597	unutbu	https://stackoverflow.com/users/190597/unutbu	0.004055822	0.004707527	0.003592519	0.001346222	0.001766399
624829	Boud	https://stackoverflow.com/users/624829/boud	0.000546983	0.000926917	0.001751153	0.020508874	0.020480638
